,unigram,count
0,payment,79313
1,loan,48187
2,mortgage,41428
3,time,24008
4,receive,23227
5,make,22852
6,tell,21971
7,home,21679
8,send,18858
9,account,18385
10,modification,16855
11,document,16152
12,say,16040
13,request,15545
14,inform,14729
15,letter,14573
16,proper,14057
17,company,13853
18,credit,13784
19,state,13521
20,ask,12357
21,bank,11831
22,need,10890
23,date,10603
24,close,10449
25,foreclosure,10440
26,process,10394
27,contact,10321
28,file,9706
29,escrow,9698
30,try,9403
31,sale,9397
32,help,9333
33,fee,9123
34,provide,8901
35,check,8886
36,work,8722
37,late,8683
38,report,8670
39,insurance,8475
40,tax,8389
41,house,7943
42,statement,7699
43,new,7628
44,want,7531
45,issue,7510
46,apply,7372
47,know,7299
48,service,7257
49,phone,7087
50,money,7055
51,rate,6933
52,sell,6726
53,refinance,6637
54,complain,6467
55,just,6435
56,add,6332
57,submit,6287
58,charge,6185
59,lender,6144
60,sign,6039
61,number,5979
62,offer,5840
63,complete,5819
64,attorney,5532
65,require,5519
66,review,5454
67,approve,5437
68,speak,5344
69,start,5086
70,change,5080
71,continue,5044
72,notice,4970
73,transfer,4967
74,refuse,4877
75,mail,4874
76,claim,4859
77,response,4821
78,application,4819
79,short,4757
80,like,4753
81,balance,4738
82,principle,4702
83,correct,4700
84,current,4678
85,use,4661
86,write,4614
87,final,4569
88,customer,4525
89,deny,4523
90,income,4484
91,fund,4427
92,return,4369
93,representative,4336
94,finance,4320
95,loss,4301
96,record,4278
97,original,4273
98,appraisal,4272
99,come,4255
100,case,4241
101,able,4226
102,include,4162
103,assist,4150
104,note,4054
105,owe,4004
106,right,3887
107,personal,3873
108,purchase,3739
109,attempt,3731
110,copy,3710
111,debt,3689
112,point,3682
113,hold,3662
114,increase,3599
115,problem,3592
116,explain,3563
117,bankruptcy,3541
118,regard,3505
119,address,3499
120,place,3495
121,order,3451
122,advise,3450
123,month,3376
124,additional,3364
125,buy,3339
126,believe,3308
127,remove,3305
128,agreement,3282
129,answer,3274
130,department,3272
131,law,3250
132,error,3241
133,fraud,3187
134,way,3106
135,program,3083
136,good,3028
137,miss,3018
138,value,3010
139,resolve,3008
140,look,3003
141,notify,2993
142,foreclose,2992
143,end,2964
144,fact,2942
145,reason,2905
146,happen,2903
147,accept,2894
148,confirm,2893
149,allow,2883
150,cost,2881
151,leave,2858
152,matter,2844
153,different,2844
154,wait,2836
155,situation,2780
156,repair,2779
157,office,2775
158,borrower,2765
159,stop,2739
160,option,2733
161,follow,2720
162,husband,2713
163,feel,2711
164,fail,2696
165,begin,2656
166,manager,2647
167,court,2644
168,cause,2625
169,people,2572
170,term,2570
171,payoff,2559
172,previous,2558
173,attach,2555
174,agree,2544
175,recent,2540
176,fix,2535
177,talk,2518
178,question,2505
179,set,2501
180,business,2489
181,respond,2485
182,high,2483
183,proof,2453
184,form,2435
185,legal,2429
186,thing,2421
187,refund,2403
188,result,2390
189,past,2383
190,action,2379
191,prior,2375
192,concern,2364
193,cancel,2345
194,inventory,2319
195,title,2314
196,think,2292
197,contract,2291
198,base,2290
199,homeowner,2284
200,long,2258
201,period,2253
202,qualify,2251
203,line,2240
204,consumer,2225
205,wife,2203
206,list,2201
207,day,2196
208,trial,2156
209,paper,2156
210,practice,2140
211,force,2136
212,plan,2127
213,supervisor,2115
214,deed,2098
215,ca,2073
216,policy,2056
217,family,2053
218,understand,2028
219,instead,2003
220,schedule,2000
221,total,1984
222,status,1979
223,update,1977
224,forward,1965
225,live,1960
226,year,1941
227,default,1941
228,job,1940
229,reach,1937
230,immediately,1933
231,deal,1920
232,indicate,1886
233,obtain,1866
234,wrong,1860
235,let,1858
236,multiple,1851
237,numerous,1842
238,modify,1819
239,hear,1797
240,clear,1789
241,history,1760
242,low,1755
243,equity,1755
244,thank,1750
245,cash,1741
246,owner,1729
247,unable,1726
248,incorrect,1724
249,mistake,1717
250,message,1712
251,automatic,1702
252,package,1699
253,sure,1694
254,dispute,1687
255,delay,1674
256,lose,1660
257,bring,1652
258,score,1651
259,currently,1628
260,violation,1625
261,release,1620
262,officer,1613
263,real,1573
264,verify,1573
265,turn,1569
266,inquiry,1569
267,far,1560
268,hardship,1539
269,investor,1523
270,trust,1507
271,sent,1500
272,run,1485
273,bad,1482
274,settlement,1474
275,delinquent,1473
276,certificate,1461
277,away,1461
278,explanation,1446
279,consider,1444
280,lawyer,1437
281,lie,1434
282,afford,1427
283,appeal,1424
284,party,1419
285,demand,1415
286,bureau,1410
287,decision,1410
288,accord,1401
289,later,1397
290,county,1396
291,damage,1390
292,denial,1389
293,collect,1384
294,extra,1379
295,lock,1374
296,post,1370
297,care,1370
298,authorize,1357
299,estate,1356
300,appear,1354
301,communication,1351
302,save,1345
303,suppose,1327
304,cover,1327
305,possible,1319
306,handle,1315
307,meet,1315
308,promise,1302
309,available,1295
310,decide,1291
311,proceed,1281
312,conversation,1271
313,spoke,1270
314,transaction,1265
315,clearly,1258
316,longer,1254
317,collection,1253
318,extension,1252
319,old,1249
320,page,1247
321,federal,1242
322,receipt,1239
323,research,1234
324,resolution,1229
325,illegal,1227
326,hard,1224
327,assign,1222
328,actually,1214
329,despite,1210
330,really,1210
331,remain,1209
332,complaint,1196
333,false,1189
334,dollar,1189
335,open,1185
336,life,1185
337,client,1162
338,prove,1161
339,support,1160
340,addition,1159
341,market,1147
342,soon,1126
343,mitigation,1118
344,reflect,1113
345,assure,1097
346,correspondence,1096
347,shortage,1094
348,aware,1084
349,reduce,1073
350,employee,1066
351,mean,1052
352,price,1051
353,directly,1046
354,holder,1044
355,expense,1034
356,entire,1025
357,difficult,1024
358,early,1022
359,negative,1021
360,repeatedly,1018
361,stay,1013
362,twice,1006
363,information,1002
364,disclosure,1000
365,occasion,998
366,mention,998
367,avoid,996
368,acknowledge,995
369,lack,995
370,inspection,994
371,single,989
372,guideline,985
373,seller,972
374,government,971
375,experience,966
376,type,965
377,rule,960
378,plus,955
379,flood,951
380,discharge,949
381,lot,949
382,reverse,934
383,seek,934
384,discuss,932
385,card,931
386,simply,928
387,create,920
388,figure,919
389,occur,919
390,drop,919
391,initial,919
392,lower,916
393,ignore,915
394,realtor,907
395,pull,905
396,direct,901
397,behalf,900
398,access,899
399,security,895
400,evidence,891
401,present,889
402,regular,882
403,item,880
404,decline,879
