PRODUCT,ISSUE,CONSUMER_COMPLAINT
Bank account or service,"Account opening, closing, or management",6347
Bank account or service,Deposits and withdrawals,3425
Bank account or service,"Making/receiving payments, sending money",1432
Bank account or service,Problems caused by my funds being low,2084
Bank account or service,Using a debit or ATM card,1597
Checking or savings account,Closing an account,3316
Checking or savings account,Managing an account,14018
Checking or savings account,Opening an account,2922
Checking or savings account,Problem caused by your funds being low,2114
Checking or savings account,Problem with a lender or other company charging your account,2845
Credit card,Billing disputes,3102
Credit card,Closing/Cancelling account,1440
Credit card,Identity theft / Fraud / Embezzlement,1723
Credit card,Other,1940
Credit reporting,Credit reporting company's investigation,5663
Credit reporting,Improper use of my credit report,1520
Credit reporting,Incorrect information on credit report,21217
Credit reporting,Unable to get credit report/credit score,2252
Debt collection,Attempts to collect debt not owed,37102
Debt collection,Communication tactics,15319
Debt collection,Cont'd attempts collect debt not owed,17434
Debt collection,Disclosure verification of debt,7590
Debt collection,False statements or representation,12678
Debt collection,Improper contact or sharing of info,2911
Debt collection,Taking/threatening an illegal action,2932
Debt collection,Threatened to contact someone or share information improperly,2400
Debt collection,Took or threatened to take negative or legal action,9506
Debt collection,Written notification about debt,15752
Mortgage,"Application, originator, mortgage broker",3746
Mortgage,Applying for a mortgage or refinancing an existing mortgage,4654
Mortgage,Closing on a mortgage,3496
Mortgage,Credit decision / Underwriting,1289
Mortgage,"Loan modification,collection,foreclosure",10789
Mortgage,"Loan servicing, payments, escrow account",14722
Mortgage,Settlement process and costs,2250
Mortgage,Struggling to pay mortgage,10231
Mortgage,Trouble during payment process,17303
